Journal Name,Sinta URL,P-ISSN,E-ISSN,Subject Area,Affiliation,Accreditation,Scopus Indexed,Garuda Indexed,Impact,H5-index,Citations 5yr,Citations,Website URL
Journal of Applied Engineering and Technological Science.,https://sinta.kemdiktisaintek.go.id/journals/profile/8857,2715-6087,2715-6079,"Science, Engineering",Yayasan Pendidikan Riset dan Pengembangan Intelektual,S1,Yes,Yes,"3,62",26,2.66,2.725,https://journal.yrpipku.com/index.php/jaets
Geoplanning.,https://sinta.kemdiktisaintek.go.id/journals/profile/933,2355-6544,2355-6544,Science,Universitas Diponegoro,S1,Yes,Yes,"3,58",14,1.016,1.337,http://ejournal.undip.ac.id/index.php/geoplanning/
Al-Albab.,https://sinta.kemdiktisaintek.go.id/journals/profile/19,0216-6143,2502-8340,"Social, Religion",Institut Agama Islam Negeri Pontianak,S1,No,Yes,"3,50",13,710.0,972.0,http://jurnaliainpontianak.or.id/index.php/alalbab/index
Journal of Indonesian economy and business.,https://sinta.kemdiktisaintek.go.id/journals/profile/866,2085-8272,2338-5847,Economy,"Fakultas Ekonomika dan Bisnis, Universitas Gadjah Mada",S1,Yes,Yes,"3,33",40,10.964,15.609,https://journal.ugm.ac.id/v3/jieb/index
Jurnal Arbitrer,https://sinta.kemdiktisaintek.go.id/journals/profile/346,2339-1162,2550-1011,Education,Fakultas Ilmu Budaya Universitas Andalas,S1,Yes,Yes,"3,31",15,1.283,1.498,http://arbitrer.fib.unand.ac.id
Bulletin of Chemical Reaction Engineering & Catalysis,https://sinta.kemdiktisaintek.go.id/journals/profile/691,,1978-2993,Engineering & Computer Science,Masyarakat Katalis Indonesia - Indonesian Catalyst Society (MKICS),S1,Yes,Yes,"3,30",31,6.544,8.295,https://journal.bcrec.id/index.php/bcrec
Belitung Nursing Journal.,https://sinta.kemdiktisaintek.go.id/journals/profile/1630,2477-4073,2477-4073,Health,Belitung Raya Foundation,S1,Yes,Yes,"3,27",30,6.91,7.763,http://belitungraya.org/BRP/index.php/bnj
Cakrawala Pendidikan: jurnal ilmiah pendidikan.,https://sinta.kemdiktisaintek.go.id/journals/profile/703,0216-1370,2442-8620,Education,"Lembaga Penjaminan Mutu dan Pengembangan Pendidikan, Universitas Negeri Yogyakarta",S1,Yes,Yes,"3,22",70,34.142,52.444,https://journal.uny.ac.id/index.php/cp
Otoritas.,https://sinta.kemdiktisaintek.go.id/journals/profile/20,2088-3706,2502-9320,Social,"Program Studi Ilmu Pemerintahan, Universitas Muhammadiyah Makassar",S1,No,Yes,"3,22",18,2.183,2.691,http://journal.unismuh.ac.id/index.php/Otoritas/
Teosofi: Jurnal Tasawuf dan Pemikiran Islam.,https://sinta.kemdiktisaintek.go.id/journals/profile/768,2088-7957,2442-871X,"Social, Religion",Progam Studi Filsafat Agama Fakultas Ushuluddin dan Filsafat UIN Sunan Ampel Surabaya,S1,Yes,Yes,"3,17",17,1.645,2.259,http://jurnalfuf.uinsby.ac.id/index.php/teosofi
Millah,https://sinta.kemdiktisaintek.go.id/journals/profile/26,1412-0992,2527-922X,"Humanities, Art, Religion",Universitas Islam Indonesia,S1,Yes,Yes,"10,35",26,3.155,3.91,http://journal.uii.ac.id/Millah
Hasanuddin Law Review.,https://sinta.kemdiktisaintek.go.id/journals/profile/946,,2442-9899,Law,Fakultas Hukum Universitas Hassanudin,S1,Yes,Yes,"9,89",18,1.678,2.032,http://pasca.unhas.ac.id/ojs/index.php/halrev
Infinity.,https://sinta.kemdiktisaintek.go.id/journals/profile/1722,2460-9285,2460-9285,Education,Institut Keguruan dan Ilmu Pendidikan Siliwangi,S1,No,Yes,"9,45",38,6.163,8.419,http://e-journal.stkipsiliwangi.ac.id/index.php/infinity
Pedagogik.,https://sinta.kemdiktisaintek.go.id/journals/profile/4119,2354-7960,2528-5793,Education,Fakultas Agama Islam Universitas Nurul Jadid,S1,No,Yes,"8,93",29,3.499,4.236,https://ejournal.unuja.ac.id/index.php/pedagogik/index
Indonesian journal of electrical engineering and computer science,https://sinta.kemdiktisaintek.go.id/journals/profile/697,2502-4752,2502-4760,"Science, Engineering",Institute of Advanced Engineering and Science (IAES),S1,Yes,Yes,"8,40",65,31.181,37.25,http://ijeecs.iaescore.com
Qudus International Journal Of Islamic Studies.,https://sinta.kemdiktisaintek.go.id/journals/profile/1322,2355-1895,2476-9304,"Education, Religion","IAIN Kudus, Indonesia",S1,Yes,Yes,"8,13",19,1.263,1.304,http://journal.stainkudus.ac.id/index.php/QIJIS
